DecayParticle1_Name DecayParticle1_isBoson DecayParticle1_mass DecayParticle1_E DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle2_Name DecayParticle2_isBoson DecayParticle2_mass DecayParticle2_E DecayParticle2_px DecayParticle2_py DecayParticle2_pz
W+ 1 80.4 181.125 67 -53 138 W- 1 80.4 159.782 -128 9 -51
b_quark 0 4.18 97.8543 83 -50 -13 b_quark 0 4.18 170.16 -127 78 -82
W+ 1 80.4 176.653 18 -53 -147 W- 1 80.4 230.879 -66 41 202
W+ 1 80.4 123.528 -59 33 65 W- 1 80.4 184.635 101 55 -120
Z 1 91.2 217.496 147 77 -107 Z 1 91.2 298.241 -139 -150 197
b_quark 0 4.18 211.299 -150 -41 -143 b_quark 0 4.18 95.9556 55 -9 78
W+ 1 80.4 117.873 55 7 -66 W- 1 80.4 131.993 -101 26 -9
Z 1 91.2 144.829 -72 -43 -75 Z 1 91.2 205.052 158 37 86
b_quark 0 4.18 103.574 39 -33 -90 b_quark 0 4.18 228.761 -139 112 143
W+ 1 80.4 234.419 -96 146 -134 W- 1 80.4 257.723 41 -90 224
b_quark 0 4.18 81.7709 40 35 62 b_quark 0 4.18 91.8394 -48 -73 -28
tau+ 0 1.78 130.458 -118 -34 44 tau- 0 1.78 190.295 177 -64 -28
b_quark 0 4.18 141.483 116 80 12 b_quark 0 4.18 185.368 -182 -8 -34
b_quark 0 4.18 168.987 -93 87 -111 b_quark 0 4.18 208.86 134 -145 68
b_quark 0 4.18 203.082 145 -138 34 b_quark 0 4.18 274.877 -158 224 20
b_quark 0 4.18 150.514 -128 78 -13 b_quark 0 4.18 162.143 111 -104 56
b_quark 0 4.18 121.715 -96 -35 66 b_quark 0 4.18 148.049 114 21 -92
W+ 1 80.4 217.152 123 -79 139 W- 1 80.4 290.472 -218 115 -131
W+ 1 80.4 152.267 9 -112 -64 W- 1 80.4 154.561 -26 93 90
